"name","surname"
"Charlie","Brown"
"Peppermint","Patty"
"Sally","Brown"
"Violet","Gray"
"Faye","Hudson"
"Cameron","Hudson"
"Doug","Willis"
"Pam","Willis"
"Gaby","Willis"
"Cody","Willis"
"Brad","Willis"
"Adam","Willis"
"Howland","Owl"
"Albert","Alligator"
"Luke","Skywalker"
"Leia","Organa"
"Darth","Vader"
"Dr.","Bombay"
"Tasha","Yar"
"Ishara","Yar"
"Toran","Darell"
"Ebling","Mis"
"Hari","Seldon"
"Salvor","Hardin"
"Gaal","Dornick"
"Sam","Malone"
"Norm","Peterson"
"Cliff","Clavin"
"Carla","Tortelli"
"Harry","Potter"
"The","Doctor"
"Charles","Prentiss"
"Martin","McCabe"
"Peter","Kingdom"
"Martha","Jones"
"Florence","Finnegan"
"Mr","Stoker"
"Jacob","Two-Two"
"Mrs","Jones"
"Ryan","Howard"
"Ken","Miller"
"Jack","Bauer"
"Jay","Gatsby"
"Holden","Caulfield"
"Humbert","Humbert"
"Leopold","Bloom"
"Gregor","Samsa"
"Philip","Marlowe"
"Annabel","Lee"
"Tom","Buchanan"
"Daisy","Buchanan"
"James","Bond"
"Hikaru","Sulu"
"Pavel","Chekov"
"Leonard","McCoy"
"3-D","Man"
"Abe","Sapien"
"Abin","Sur"
"Absorbing","Man"
"Adam","Monroe"
"Adam","Strange"
"Agent","Bob"
"Agent","Zero"
"Alex","Mercer"
"Alex","Woolsly"
"Alfred","Pennyworth"
"Allan","Quatermain"
"Ando","Masahashi"
"Angel","Dust"
"Angel","Salvadore"
"Animal","Man"
"Atom","Girl"
"Beast","Boy"
"Big","Barda"
"Big","Daddy"
"Big","Man"
"Bill","Harken"
"Billy","Kincaid"
"Bionic","Woman"
"Black","Abbott"
"Black","Adam"
"Black","Bolt"
"Black","Canary"
"Black","Canary"
"Black","Cat"
"Black","Flash"
"Black","Goliath"
"Black","Lightning"
"Black","Mamba"
"Black","Manta"
"Black","Panther"
"Black","Widow"
"Blue","Beetle"
"Blue","Beetle"
"Boba","Fett"
"Bomb","Queen"
"Booster","Gold"
"Brother","Voodoo"
"Cameron","Hicks"
"Captain","America"
"Captain","Atom"
"Captain","Britain"
"Captain","Cold"
"Captain","Epic"
"Captain","Hindsight"
"Captain","Mar-vell"
"Captain","Marvel"
"Captain","Midnight"
"Captain","Planet"
"Captain","Universe"
"Cecilia","Reyes"
"Citizen","Steel"
"Claire","Bennet"
"Clock","King"
"Colin","Wagner"
"Colossal","Boy"
"Crimson","Crusader"
"Crimson","Dynamo"
"Cyborg","Superman"
"Danny","Cooper"
"Daphne","Powell"
"Darth","Maul"
"Darth","Vader"
"DL","Hawkins"
"Doc","Samson"
"Doctor","Doom"
"Doctor","Fate"
"Doctor","Octopus"
"Doctor","Strange"
"Donna","Troy"
"Dr","Manhattan"
"Elle","Bishop"
"Elongated","Man"
"Emma","Frost"
"Evil","Deadpool"
"Fabian","Cortez"
"Fighting","Spirit"
"Franklin","Richards"
"Franklin","Storm"
"Garbage","Man"
"Gary","Bell"
"General","Zod"
"Ghost","Rider"
"Goblin","Queen"
"Gorilla","Grodd"
"Granny","Goodness"
"Green","Arrow"
"Green","Goblin"
"Green","Lantern"
"Green","Lantern"
"Green","Lantern"
"Green","Lantern"
"Green","Lantern"
"Green","Lantern"
"Green","Lantern"
"Han","Solo"
"Harley","Quinn"
"Harry","Potter"
"Heat","Wave"
"Hiro","Nakamura"
"Hope","Summers"
"Human","Torch"
"Indiana","Jones"
"Invisible","Woman"
"Iron","Fist"
"Iron","Man"
"Iron","Monger"
"Jason","Voorhees"
"Jean","Grey"
"Jean-Luc","Picard"
"Jennifer","Kale"
"Jesse","Quick"
"Jessica","Jones"
"Jessica","Sanders"
"Jim","Powell"
"JJ","Powell"
"Johann","Krauss"
"John","Constantine"
"John","Wraith"
"Judge","Dredd"
"Jyn","Erso"
"Karate","Kid"
"Kathryn","Janeway"
"Katniss","Everdeen"
"Kid","Flash"
"Killer","Croc"
"Killer","Frost"
"King","Kong"
"King","Shark"
"Kylo","Ren"
"Lady","Bullseye"
"Lady","Deathstrike"
"Lex","Luthor"
"Light","Lass"
"Lightning","Lad"
"Lightning","Lord"
"Living","Brain"
"Living","Tribunal"
"Liz","Sherman"
"Lucifer","Morningstar"
"Luke","Cage"
"Luke","Campbell"
"Luke","Skywalker"
"Machine","Man"
"Mad","Max"
"Martian","Manhunter"
"Marvel","Girl"
"Master","Brood"
"Master","Chief"
"Matt","Parkman"
"Maya","Herrera"
"Micah","Sanders"
"Micro","Lad"
"Minna","Murray"
